_isName,_gender,_animate,_frequency,_length,_mainword,_dependentverbs,_dependenceofverb,_dependentnoun,_dependentadjective,_dependenceofadjective,_word,class
0,1,0,0,3,0,0,0,0,0,0,сон,'something'
0,0,0,9,4,0,0,0,0,0,0,маню,'person'
0,1,0,5,5,4,0,0,3,0,0,голос,'object'
0,1,1,0,8,0,0,0,0,0,0,родитель,'person'
0,0,0,39,4,29,0,0,19,0,0,маня,'person'
0,-1,1,0,10,0,0,0,0,0,0,племянница,'person'
0,-1,0,2,6,3,0,0,0,0,0,правда,'object'
0,1,0,0,6,0,0,0,0,0,0,взгляд,'something'
0,1,1,0,8,3,0,0,0,0,0,господин,'person'
1,1,1,2,6,0,0,0,0,0,0,сухов,'person'
1,1,1,0,7,0,0,0,0,0,0,карлов,'person'
1,1,1,0,7,0,0,0,0,0,0,смирнов,'person'
0,-1,1,1,6,0,0,0,0,0,0,нянька,'person'
0,1,0,0,6,0,0,0,0,0,0,обиняк,'something'
0,-1,0,0,4,0,0,0,0,0,0,мана,'person'
0,0,0,0,7,0,0,0,0,0,0,занятие,'something'
0,1,0,0,10,0,0,0,0,0,0,амфибрахий,'object'
0,1,0,0,6,1,0,0,1,0,0,бантик,'object'
0,1,0,2,4,1,1,0,1,0,0,день,'object'
0,-1,1,1,6,1,0,0,1,0,0,тупица,'person'
0,-1,0,1,6,0,0,0,0,0,0,улыбка,'object'
0,-1,0,2,5,3,0,0,2,0,0,лампа,'object'
0,1,1,1,4,2,0,0,1,0,0,конь,'object'
0,-1,0,0,8,0,0,0,0,0,0,прогулка,'object'
0,1,0,0,3,1,0,0,1,0,0,ямб,'object'
0,-1,1,1,4,1,0,0,0,0,0,мама,'person'
0,-1,1,5,7,1,0,0,1,0,0,бабушка,'person'
0,-1,0,1,6,0,0,0,0,0,0,апатия,'object'
1,-1,1,1,3,0,0,0,0,0,0,оля,'person'
0,-1,1,0,9,0,0,0,0,0,0,покойница,'person'
0,1,0,3,5,1,0,0,1,0,0,позор,'object'
0,1,0,0,6,1,0,0,1,0,0,силуэт,'object'
0,1,0,0,7,1,0,0,1,0,0,анапест,'object'
0,0,0,0,5,0,0,0,0,0,0,мыслю,'object'
0,1,0,1,9,1,0,0,0,0,0,полтинник,'object'
0,-1,0,3,5,3,0,0,1,0,0,мысль,'object'
1,1,1,0,9,1,0,0,1,0,0,александр,'person'
0,-1,0,1,4,0,0,0,0,0,0,куча,'something'
0,1,1,1,8,1,0,0,1,0,0,старичок,'person'
0,-1,0,0,8,0,0,0,0,0,0,перчатка,'something'
0,-1,0,0,5,0,0,0,0,0,0,булка,'something'
0,1,1,0,7,0,0,0,0,0,0,человек,'person'
1,-1,1,1,5,1,0,0,0,0,0,сухая,'something'
0,1,0,1,3,0,0,0,0,0,0,тут,'something'
0,1,0,0,7,0,0,0,0,0,0,сладкий,'something'
0,-1,1,0,6,0,0,0,0,0,0,птичка,'something'
0,0,0,1,4,0,0,0,0,0,0,буря,'something'
0,-1,1,0,8,0,0,0,0,0,0,подружка,'person'
0,-1,0,0,6,0,0,0,0,0,0,дружба,'object'
0,-1,0,0,4,1,0,0,1,0,0,нога,'something'
0,-1,0,0,8,0,0,0,0,0,0,кастрюля,'something'
0,-1,0,0,7,1,0,0,0,0,0,починка,'object'
0,1,0,0,7,0,0,0,0,0,0,горький,'something'
0,1,0,1,4,1,0,0,1,0,0,балл,'object'
0,1,0,1,5,0,0,0,0,0,0,запах,'something'
0,0,0,0,12,1,0,0,0,0,0,всхлипывание,'object'
0,1,0,1,6,0,0,0,0,0,0,дворец,'something'
0,-1,0,1,8,1,0,0,0,0,0,гимназия,'object'
0,1,1,0,8,1,0,0,0,0,0,владелец,'person'
0,0,0,5,1,2,0,0,2,0,0,я,'person'
0,-1,0,0,7,0,0,0,0,0,0,природа,'something'
0,1,0,0,3,5,0,0,4,0,0,пот,'object'
0,-1,0,0,4,0,0,0,0,0,0,сила,'something'
0,1,1,0,7,1,0,0,1,0,0,мальчик,'person'
0,-1,0,1,7,1,0,0,1,0,0,стрелка,'object'
0,0,0,2,4,1,0,0,0,0,0,дело,'object'
0,0,0,1,8,0,0,0,0,0,0,влечение,'object'
0,1,0,1,4,0,0,0,0,0,0,этаж,'something'
0,1,1,0,7,0,0,0,0,0,0,портной,'object'
0,-1,0,0,7,0,0,0,0,0,0,вешалка,'something'
0,-1,0,0,13,0,0,0,0,0,0,привязанность,'something'
0,1,0,0,5,0,0,0,0,0,0,ранец,'something'
0,0,0,0,12,0,0,0,0,0,0,употребление,'something'
0,-1,0,0,6,0,0,0,0,0,0,книжка,'object'
0,0,0,2,5,0,0,0,0,0,0,время,'object'
0,1,0,0,5,1,0,0,0,0,0,конец,'object'
0,-1,1,1,8,1,0,0,1,0,0,свекровь,'person'
0,0,0,1,4,0,0,0,0,0,0,ушко,'something'
0,-1,1,1,5,1,0,0,1,0,0,немка,'person'
1,-1,1,2,5,0,0,0,0,0,0,марья,'person'
0,1,0,1,7,1,0,0,1,0,0,голосок,'object'
0,-1,0,2,4,0,0,0,0,0,0,мода,'object'
